study_hours_per_week,attendance_percent,previous_score,sleep_hours,absences,parental_education,internet_access,extracurricular_activities,part_time_job,study_method,final_score,pass_fail,performance_category
12.4,100.0,61.5,6.8,7,Masters,No,Yes,Yes,Group Study,59.22,Pass,Average
10.5,84.7,86.8,6.5,7,Masters,No,No,No,Online Courses,51.65,Pass,Average
12.5,82.3,44.9,8.2,6,High School,Yes,No,Yes,Group Study,49.08,Pass,Below Average
2.1,76.3,75.4,6.6,3,Masters,No,No,No,Tutoring,48.56,Pass,Below Average
10.9,81.6,55.9,5.2,10,High School,Yes,Yes,No,Online Courses,48.05,Pass,Below Average
13.8,78.2,90.8,6.2,6,High School,Yes,No,Yes,Group Study,65.27,Pass,Average
19.4,88.5,94.9,6.9,1,High School,Yes,No,No,Group Study,69.11,Pass,Average
9.4,91.5,53.5,8.3,4,Bachelors,Yes,No,No,Group Study,69.27,Pass,Average
8.0,70.6,56.8,7.5,6,High School,Yes,No,No,Group Study,50.1,Pass,Average
9.5,64.0,77.9,5.6,7,Bachelors,Yes,No,Yes,Tutoring,45.46,Pass,Below Average
16.6,58.0,59.2,9.9,7,Bachelors,Yes,No,No,Online Courses,53.87,Pass,Average
13.6,86.1,64.3,7.0,4,PhD,Yes,No,No,Online Courses,70.11,Pass,Good
9.4,66.8,65.4,8.4,8,High School,Yes,Yes,No,Self-study,59.18,Pass,Average
14.6,54.2,36.2,6.5,14,High School,No,Yes,Yes,Online Courses,24.3,Fail,Poor
12.5,84.7,64.8,7.4,6,High School,Yes,Yes,No,Self-study,59.51,Pass,Average
16.8,100.0,54.7,7.8,1,Bachelors,Yes,Yes,No,Group Study,72.01,Pass,Good
8.5,79.9,57.6,8.3,3,High School,Yes,Yes,Yes,Tutoring,60.29,Pass,Average
10.4,90.1,86.7,8.1,4,Masters,Yes,Yes,No,Tutoring,70.99,Pass,Good
10.0,81.0,46.2,7.8,4,Bachelors,Yes,No,No,Group Study,51.2,Pass,Average
4.7,78.8,77.2,6.3,5,Bachelors,Yes,Yes,No,Self-study,64.8,Pass,Average
13.5,91.0,60.8,6.0,2,Bachelors,Yes,No,No,Group Study,63.3,Pass,Average
13.3,76.5,60.8,7.1,7,High School,Yes,Yes,No,Tutoring,61.72,Pass,Average
12.0,83.2,76.9,7.9,6,High School,Yes,Yes,No,Tutoring,56.08,Pass,Average
10.8,83.9,70.1,6.4,12,High School,Yes,Yes,No,Online Courses,52.84,Pass,Average
4.9,72.0,73.6,8.1,7,Bachelors,Yes,Yes,No,Self-study,62.77,Pass,Average
9.9,91.9,79.5,8.6,4,High School,Yes,No,No,Online Courses,60.01,Pass,Average
10.3,77.9,60.0,5.5,7,High School,No,No,No,Tutoring,40.47,Pass,Below Average
8.0,70.9,55.8,5.6,5,PhD,Yes,Yes,No,Tutoring,53.12,Pass,Average
11.2,86.4,48.7,6.5,4,High School,Yes,No,No,Online Courses,43.66,Pass,Below Average
14.0,69.2,52.6,7.1,7,Masters,Yes,No,No,Online Courses,50.08,Pass,Average
21.4,80.3,100.0,6.0,4,Masters,Yes,No,Yes,Tutoring,77.24,Pass,Good
12.9,79.9,83.7,8.5,3,High School,No,No,Yes,Online Courses,54.65,Pass,Average
13.3,93.0,44.7,7.3,6,High School,Yes,No,No,Online Courses,62.68,Pass,Average
11.6,85.7,45.2,6.8,7,High School,Yes,No,Yes,Self-study,54.29,Pass,Average
2.4,79.7,72.2,4.8,9,Bachelors,Yes,No,Yes,Tutoring,35.18,Fail,Poor
11.9,89.8,73.2,5.0,3,Bachelors,Yes,Yes,No,Group Study,65.08,Pass,Average
12.3,96.7,73.2,7.1,5,Masters,Yes,Yes,Yes,Self-study,71.77,Pass,Good
24.3,86.7,61.2,3.9,6,PhD,Yes,No,Yes,Group Study,77.57,Pass,Good
11.0,80.1,63.1,8.0,9,Bachelors,Yes,No,No,Online Courses,60.77,Pass,Average
13.5,64.3,69.9,6.5,9,High School,Yes,No,No,Online Courses,50.87,Pass,Average
11.8,67.2,66.3,10.0,7,High School,Yes,No,No,Group Study,57.36,Pass,Average
6.2,76.3,31.7,9.7,9,Masters,No,Yes,No,Online Courses,43.8,Pass,Below Average
17.7,72.7,61.6,6.5,12,High School,Yes,No,No,Online Courses,45.95,Pass,Below Average
15.8,77.8,52.2,6.6,5,High School,Yes,No,No,Self-study,53.76,Pass,Average
16.0,80.7,67.6,8.0,7,Masters,Yes,Yes,No,Group Study,77.51,Pass,Good
7.5,86.4,100.0,8.9,4,Bachelors,Yes,No,Yes,Self-study,64.8,Pass,Average
19.0,79.2,70.5,4.6,3,PhD,Yes,No,Yes,Group Study,65.08,Pass,Average
5.0,85.8,60.3,4.4,6,Bachelors,Yes,Yes,No,Self-study,47.41,Pass,Below Average
14.9,80.8,78.8,5.9,5,High School,Yes,No,No,Tutoring,45.16,Pass,Below Average
23.0,56.3,72.2,7.5,8,PhD,Yes,Yes,No,Tutoring,67.79,Pass,Average
7.0,68.7,71.3,7.3,9,High School,Yes,No,No,Group Study,47.74,Pass,Below Average
9.2,78.3,74.1,8.1,5,High School,No,Yes,No,Tutoring,47.97,Pass,Below Average
12.5,65.5,95.8,5.1,7,Bachelors,Yes,No,No,Self-study,51.79,Pass,Average
9.5,87.2,48.0,3.7,9,High School,Yes,No,No,Group Study,36.57,Fail,Poor
4.2,98.4,72.1,7.8,6,Bachelors,Yes,Yes,Yes,Tutoring,62.71,Pass,Average
12.3,94.6,51.1,5.6,3,High School,Yes,No,No,Tutoring,68.4,Pass,Average
6.7,77.4,73.3,4.1,5,Bachelors,Yes,No,Yes,Group Study,55.14,Pass,Average
14.4,97.9,51.2,6.9,6,Bachelors,Yes,Yes,No,Tutoring,54.63,Pass,Average
7.4,81.8,58.7,7.7,3,Masters,Yes,Yes,No,Tutoring,63.47,Pass,Average
19.7,76.0,60.6,6.5,4,Masters,Yes,No,No,Group Study,60.26,Pass,Average
8.1,72.6,79.6,6.1,7,High School,Yes,No,No,Tutoring,46.39,Pass,Below Average
10.4,76.4,78.8,6.5,2,Bachelors,Yes,Yes,No,Tutoring,58.7,Pass,Average
16.1,75.3,46.3,6.2,4,Bachelors,Yes,Yes,No,Tutoring,59.72,Pass,Average
5.8,82.0,65.8,4.9,6,High School,Yes,Yes,No,Tutoring,54.24,Pass,Average
13.1,81.9,54.4,5.8,9,Masters,Yes,No,No,Online Courses,54.27,Pass,Average
18.5,80.0,46.1,7.4,5,Masters,Yes,Yes,No,Group Study,62.08,Pass,Average
4.0,85.2,61.7,7.1,4,High School,Yes,No,No,Online Courses,50.98,Pass,Average
12.9,94.3,60.4,6.9,4,Bachelors,Yes,No,Yes,Online Courses,62.6,Pass,Average
13.3,91.4,100.0,5.4,7,High School,Yes,Yes,No,Self-study,78.95,Pass,Good
15.9,62.2,71.5,6.5,9,Bachelors,Yes,No,No,Online Courses,45.65,Pass,Below Average
5.8,49.4,44.3,3.9,9,High School,Yes,Yes,No,Online Courses,24.57,Fail,Poor
5.4,91.2,56.5,6.9,3,PhD,Yes,No,No,Self-study,50.75,Pass,Average
14.6,63.6,80.3,8.6,9,Masters,Yes,Yes,No,Tutoring,63.19,Pass,Average
13.5,77.3,96.3,4.8,8,Bachelors,Yes,No,No,Tutoring,63.08,Pass,Average
13.3,66.0,41.2,5.9,5,Bachelors,Yes,No,No,Online Courses,43.65,Pass,Below Average
13.7,58.4,36.8,7.1,8,Masters,Yes,Yes,No,Self-study,38.71,Fail,Poor
8.6,86.5,93.1,8.3,3,Bachelors,Yes,Yes,Yes,Tutoring,56.28,Pass,Average
13.2,89.1,70.8,6.1,4,High School,Yes,Yes,No,Self-study,47.91,Pass,Below Average
13.5,73.1,52.0,5.8,9,Bachelors,Yes,Yes,Yes,Group Study,44.95,Pass,Below Average
8.4,48.9,73.0,4.1,8,Masters,No,No,Yes,Group Study,28.35,Fail,Poor
21.3,73.4,25.5,6.8,4,Bachelors,Yes,No,No,Group Study,46.91,Pass,Below Average
14.4,84.7,65.1,9.4,5,Bachelors,Yes,No,Yes,Group Study,69.89,Pass,Average
6.0,62.3,69.9,7.1,11,Masters,Yes,No,No,Online Courses,40.11,Pass,Below Average
15.3,82.2,78.9,6.7,8,Masters,Yes,No,No,Group Study,77.0,Pass,Good
7.1,79.8,49.8,7.1,3,Masters,Yes,No,No,Group Study,62.05,Pass,Average
15.9,87.0,66.3,6.7,4,High School,Yes,Yes,No,Self-study,50.09,Pass,Average
17.8,81.4,51.1,5.6,9,Bachelors,Yes,Yes,Yes,Tutoring,53.74,Pass,Average
7.9,68.3,68.8,7.8,7,Masters,Yes,Yes,No,Self-study,51.71,Pass,Average
16.8,94.4,51.6,7.0,4,Masters,Yes,No,Yes,Online Courses,42.2,Pass,Below Average
14.1,78.1,58.9,6.7,2,Bachelors,Yes,Yes,No,Group Study,49.95,Pass,Below Average
16.1,79.7,50.1,5.4,8,High School,Yes,Yes,No,Tutoring,56.92,Pass,Average
21.5,68.8,74.8,8.4,7,Masters,Yes,Yes,No,Tutoring,85.25,Pass,Excellent
10.8,74.7,77.9,7.6,9,Masters,Yes,No,No,Group Study,66.29,Pass,Average
8.2,69.4,61.5,6.0,9,High School,Yes,Yes,No,Group Study,45.85,Pass,Below Average
7.6,77.9,65.6,8.0,4,Bachelors,Yes,Yes,No,Online Courses,56.07,Pass,Average
7.9,100.0,43.3,6.1,5,High School,Yes,Yes,No,Online Courses,62.73,Pass,Average
11.6,63.5,60.5,5.7,8,High School,Yes,Yes,Yes,Group Study,54.62,Pass,Average
13.7,60.6,64.2,5.7,10,High School,Yes,No,No,Group Study,40.17,Pass,Below Average
13.4,97.7,100.0,4.4,4,Bachelors,No,Yes,No,Group Study,57.53,Pass,Average
16.1,77.5,48.3,7.3,6,Bachelors,No,Yes,No,Group Study,37.05,Fail,Poor
12.1,72.0,87.0,4.3,5,Bachelors,Yes,No,Yes,Tutoring,63.05,Pass,Average
19.3,92.5,80.0,5.1,6,Bachelors,Yes,Yes,No,Online Courses,73.75,Pass,Good
10.7,72.7,69.2,4.0,8,Masters,Yes,Yes,No,Group Study,54.83,Pass,Average
25.6,100.0,91.4,6.6,3,High School,Yes,No,Yes,Group Study,68.94,Pass,Average
15.1,88.1,70.6,6.5,5,High School,Yes,Yes,No,Tutoring,58.69,Pass,Average
7.7,74.1,70.8,6.3,8,Masters,Yes,Yes,No,Self-study,52.74,Pass,Average
6.6,100.0,64.2,5.3,6,High School,No,Yes,No,Group Study,51.38,Pass,Average
14.4,72.7,83.4,5.2,8,PhD,Yes,No,No,Tutoring,61.69,Pass,Average
10.9,88.9,81.4,7.3,8,Masters,Yes,No,No,Tutoring,60.13,Pass,Average
15.6,83.6,55.6,6.0,7,Bachelors,Yes,No,Yes,Self-study,47.53,Pass,Below Average
14.4,95.6,45.2,7.1,2,PhD,Yes,No,No,Online Courses,74.1,Pass,Good
11.6,98.7,62.0,5.5,7,High School,Yes,Yes,Yes,Online Courses,56.44,Pass,Average
7.8,80.4,53.0,6.9,3,High School,Yes,Yes,No,Online Courses,52.88,Pass,Average
4.4,71.0,64.0,8.4,8,Bachelors,Yes,No,Yes,Group Study,36.01,Fail,Poor
9.8,85.5,83.6,7.5,7,Bachelors,Yes,No,Yes,Online Courses,39.09,Fail,Poor
16.3,71.9,58.1,6.2,7,PhD,Yes,Yes,No,Group Study,57.31,Pass,Average
13.1,100.0,64.4,7.0,4,High School,No,No,Yes,Group Study,47.63,Pass,Below Average
5.8,81.6,65.9,6.4,6,Bachelors,Yes,Yes,Yes,Tutoring,50.68,Pass,Average
12.9,75.6,77.7,6.7,2,Bachelors,Yes,Yes,No,Online Courses,86.5,Pass,Excellent
13.9,82.2,31.3,6.3,8,Bachelors,Yes,Yes,Yes,Online Courses,48.75,Pass,Below Average
7.6,63.8,55.9,6.5,7,High School,Yes,Yes,Yes,Online Courses,54.6,Pass,Average
12.8,68.3,68.2,7.0,6,Bachelors,Yes,No,No,Group Study,58.49,Pass,Average
12.3,94.4,83.0,5.4,6,Masters,No,No,No,Group Study,59.71,Pass,Average
6.3,72.1,57.6,5.4,8,High School,Yes,Yes,No,Online Courses,43.43,Pass,Below Average
13.8,67.4,36.9,4.9,6,Masters,Yes,Yes,No,Group Study,57.9,Pass,Average
14.8,86.4,74.3,4.6,3,Bachelors,Yes,No,No,Group Study,76.65,Pass,Good
17.4,94.2,55.5,5.1,4,Masters,Yes,Yes,No,Self-study,63.77,Pass,Average
17.3,88.6,47.2,6.9,4,Masters,Yes,No,No,Self-study,64.95,Pass,Average
5.1,92.0,55.6,5.5,5,High School,Yes,Yes,Yes,Online Courses,34.33,Fail,Poor
7.3,70.9,62.2,7.4,4,Bachelors,Yes,No,No,Online Courses,55.09,Pass,Average
14.6,62.9,55.9,6.7,10,Masters,Yes,Yes,No,Self-study,62.58,Pass,Average
14.6,98.0,31.9,4.1,6,Bachelors,No,Yes,No,Group Study,48.3,Pass,Below Average
14.6,76.1,78.5,7.6,7,PhD,Yes,Yes,Yes,Group Study,60.55,Pass,Average
31.3,77.0,84.1,7.8,7,Bachelors,Yes,Yes,Yes,Tutoring,82.69,Pass,Good
14.9,95.9,74.8,5.4,3,High School,Yes,Yes,No,Online Courses,70.37,Pass,Good
17.7,86.7,47.9,7.2,2,Bachelors,Yes,No,Yes,Online Courses,58.22,Pass,Average
16.8,85.5,62.0,5.6,1,PhD,Yes,Yes,No,Online Courses,71.29,Pass,Good
15.3,100.0,64.9,6.8,3,High School,Yes,Yes,No,Tutoring,66.93,Pass,Average
10.4,72.3,74.0,5.1,4,Masters,No,No,No,Tutoring,57.43,Pass,Average
15.8,91.1,75.0,4.4,5,Masters,Yes,No,Yes,Group Study,68.78,Pass,Average
8.1,80.7,54.0,6.2,3,Bachelors,Yes,No,No,Self-study,43.51,Pass,Below Average
10.8,83.2,66.2,6.5,6,High School,No,No,No,Self-study,41.25,Pass,Below Average
9.6,98.3,71.9,6.2,5,Masters,Yes,No,No,Self-study,64.46,Pass,Average
12.4,86.1,86.8,5.2,8,High School,Yes,No,Yes,Group Study,61.36,Pass,Average
23.6,86.5,75.6,6.2,8,Masters,Yes,No,Yes,Self-study,72.17,Pass,Good
2.7,92.9,76.8,7.1,5,Bachelors,Yes,No,No,Tutoring,53.14,Pass,Average
15.4,75.6,66.3,6.6,5,Bachelors,Yes,Yes,Yes,Tutoring,58.52,Pass,Average
3.9,69.9,86.2,6.9,6,Masters,Yes,Yes,No,Online Courses,54.0,Pass,Average
9.6,67.5,71.1,5.8,8,Bachelors,Yes,Yes,No,Self-study,57.31,Pass,Average
17.4,56.4,52.1,8.2,11,Bachelors,No,No,No,Tutoring,45.14,Pass,Below Average
12.3,100.0,86.1,5.2,2,Bachelors,Yes,No,No,Online Courses,70.08,Pass,Good
6.6,66.8,75.5,7.3,8,Bachelors,Yes,No,Yes,Self-study,46.76,Pass,Below Average
8.4,77.3,58.4,8.2,9,Bachelors,Yes,Yes,Yes,Self-study,56.88,Pass,Average
15.4,76.7,57.8,7.3,6,Masters,No,No,Yes,Tutoring,45.69,Pass,Below Average
8.3,83.7,69.4,6.4,4,Bachelors,Yes,No,No,Online Courses,59.55,Pass,Average
13.1,89.8,71.9,6.0,6,Bachelors,No,Yes,No,Online Courses,58.98,Pass,Average
12.2,90.3,68.0,8.0,6,Bachelors,Yes,No,Yes,Tutoring,62.57,Pass,Average
8.7,73.0,69.7,4.9,6,High School,Yes,Yes,No,Tutoring,43.75,Pass,Below Average
22.7,78.0,90.5,5.4,10,High School,Yes,No,No,Tutoring,69.7,Pass,Average
15.2,83.4,81.1,6.2,4,PhD,Yes,No,No,Self-study,79.44,Pass,Good
1.9,77.0,67.9,8.3,6,Masters,Yes,No,Yes,Tutoring,39.92,Fail,Poor
12.9,99.3,79.1,7.2,4,Bachelors,Yes,No,Yes,Tutoring,58.42,Pass,Average
8.7,85.9,49.5,5.4,7,Bachelors,Yes,No,Yes,Group Study,35.1,Fail,Poor
16.3,88.8,71.0,6.3,5,High School,Yes,No,No,Tutoring,55.41,Pass,Average
8.0,88.0,92.1,5.9,2,Bachelors,Yes,Yes,Yes,Tutoring,67.34,Pass,Average
11.4,94.1,61.7,5.8,3,Bachelors,Yes,No,No,Self-study,51.41,Pass,Average
14.5,82.2,52.3,8.0,8,Bachelors,Yes,Yes,No,Online Courses,56.61,Pass,Average
16.3,64.4,55.2,4.9,9,Bachelors,Yes,Yes,No,Self-study,54.02,Pass,Average
6.0,84.8,48.7,8.8,10,High School,Yes,No,No,Group Study,47.64,Pass,Below Average
10.3,72.2,53.2,7.8,7,High School,Yes,No,Yes,Tutoring,38.55,Fail,Poor
9.6,73.7,59.4,8.1,7,PhD,Yes,Yes,No,Tutoring,59.19,Pass,Average
8.7,87.0,43.9,6.1,5,Bachelors,Yes,Yes,No,Tutoring,51.33,Pass,Average
20.8,94.9,65.2,6.5,4,Bachelors,Yes,Yes,No,Tutoring,72.88,Pass,Good
14.0,80.3,78.5,4.8,5,High School,Yes,Yes,No,Tutoring,58.56,Pass,Average
5.7,83.7,51.4,6.0,9,High School,Yes,Yes,No,Tutoring,58.63,Pass,Average
16.6,100.0,87.8,7.3,3,Masters,Yes,No,Yes,Group Study,82.97,Pass,Good
22.6,82.9,72.7,8.4,5,Bachelors,Yes,Yes,Yes,Tutoring,88.52,Pass,Excellent
17.2,100.0,80.5,5.3,6,Bachelors,Yes,No,Yes,Tutoring,65.63,Pass,Average
4.4,86.8,55.1,6.2,4,High School,Yes,Yes,No,Tutoring,46.52,Pass,Below Average
9.6,58.9,77.8,6.5,7,Masters,Yes,No,Yes,Group Study,38.36,Fail,Poor
18.3,89.0,48.6,4.9,3,High School,Yes,Yes,No,Tutoring,53.15,Pass,Average
8.5,84.6,78.4,7.5,7,High School,Yes,Yes,No,Group Study,71.65,Pass,Good
14.2,95.5,67.6,5.8,5,Bachelors,Yes,Yes,No,Self-study,63.64,Pass,Average
15.9,88.1,73.3,6.4,7,High School,Yes,No,No,Tutoring,75.93,Pass,Good
7.4,78.3,47.4,6.1,5,High School,Yes,No,No,Online Courses,33.29,Fail,Poor
11.7,65.3,51.6,5.7,9,Bachelors,Yes,Yes,Yes,Group Study,33.43,Fail,Poor
0.0,77.5,74.0,6.7,4,Bachelors,Yes,Yes,Yes,Self-study,42.48,Pass,Below Average
6.9,69.8,50.8,6.4,7,Masters,No,Yes,No,Group Study,39.83,Fail,Poor
10.7,73.0,71.9,6.2,12,Bachelors,Yes,No,Yes,Group Study,53.66,Pass,Average
5.8,87.1,44.5,5.8,5,High School,Yes,No,Yes,Self-study,40.68,Pass,Below Average
20.2,100.0,77.7,7.1,4,High School,Yes,Yes,No,Tutoring,74.62,Pass,Good
4.8,84.7,46.5,8.8,3,PhD,Yes,Yes,Yes,Tutoring,50.34,Pass,Average
9.8,65.6,73.3,6.9,3,Bachelors,Yes,Yes,No,Group Study,53.0,Pass,Average
12.7,85.3,74.4,8.0,5,Masters,Yes,Yes,No,Self-study,62.97,Pass,Average
19.2,94.4,54.5,4.9,3,High School,No,No,No,Tutoring,50.26,Pass,Average
4.8,72.7,73.7,6.9,7,Bachelors,Yes,Yes,No,Group Study,58.27,Pass,Average
17.8,78.4,68.9,5.3,4,High School,Yes,Yes,No,Online Courses,48.41,Pass,Below Average
12.1,80.2,56.9,4.8,5,Bachelors,Yes,Yes,Yes,Self-study,60.4,Pass,Average
7.1,70.6,49.9,5.7,7,PhD,Yes,No,Yes,Online Courses,38.93,Fail,Poor
14.3,87.8,35.6,8.2,5,PhD,Yes,No,No,Online Courses,54.26,Pass,Average
13.0,78.5,70.2,7.9,6,Bachelors,Yes,Yes,No,Group Study,67.69,Pass,Average
9.0,85.0,41.5,7.0,5,Bachelors,Yes,Yes,No,Self-study,60.66,Pass,Average
12.3,69.4,66.4,4.7,7,PhD,Yes,Yes,No,Tutoring,64.33,Pass,Average
10.1,74.8,61.0,6.4,9,Bachelors,Yes,No,Yes,Tutoring,48.74,Pass,Below Average
12.6,88.7,75.2,7.1,6,High School,Yes,Yes,No,Group Study,70.78,Pass,Good
15.3,75.5,60.5,6.9,6,Bachelors,Yes,No,No,Tutoring,45.64,Pass,Below Average
19.9,100.0,60.1,4.3,6,High School,Yes,No,No,Tutoring,61.16,Pass,Average
5.8,75.2,76.0,5.5,4,Bachelors,Yes,No,No,Online Courses,45.6,Pass,Below Average
